Statistical profiling result from autocannon-fork-scl-v8.log, (20239 ticks, 26 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     11    0.1%    0.2%  LazyCompile: *onstat /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/send/index.js:721:33
     11    0.1%    0.2%  LazyCompile: *insert node:internal/timers:350:16
     11    0.1%    0.2%  LazyCompile: *exports.shallowCopy /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/utils.js:115:32
     10    0.0%    0.2%  LazyCompile: *writeHead node:_http_server:269:19
     10    0.0%    0.2%  LazyCompile: *showAppInfo file:///home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/src/controllers/webServerController.js:27:28
     10    0.0%    0.2%  LazyCompile: *processPromiseRejections node:internal/process/promises:203:34
     10    0.0%    0.2%  LazyCompile: *etag /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/etag/index.js:70:15
     10    0.0%    0.2%  LazyCompile: *emit node:events:340:44
     10    0.0%    0.2%  LazyCompile: *<anonymous> /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/logform/timestamp.js:14:25
      9    0.0%    0.2%  LazyCompile: *trim_prefix /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/lib/router/index.js:288:23
      9    0.0%    0.2%  LazyCompile: *getIncludePath /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:154:24
      9    0.0%    0.2%  LazyCompile: *endReadable node:internal/streams/readable:1326:21
      8    0.0%    0.2%  RegExp: d{1,4}|M{1,4}|YY(?:YY)?|S{1,3}|Do|ZZ|Z|([HhMsDm])\1?|[aA]|"[^"]*"|'[^']*'
      8    0.0%    0.2%  LazyCompile: *write_ node:_http_outgoing:730:16
      8    0.0%    0.2%  LazyCompile: *readPackage node:internal/modules/cjs/loader:290:21
      8    0.0%    0.2%  LazyCompile: *onwrite /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/readable-stream/lib/_stream_writable.js:444:17
      8    0.0%    0.2%  LazyCompile: *includeFile /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:307:21
      8    0.0%    0.2%  LazyCompile: *getEncodingOps node:buffer:678:24
      8    0.0%    0.2%  LazyCompile: *fastparse /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/parseurl/index.js:95:20
      8    0.0%    0.2%  LazyCompile: *createError /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/http-errors/index.js:49:22
      8    0.0%    0.2%  LazyCompile: *compressible /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/compressible/index.js:41:23
      8    0.0%    0.2%  LazyCompile: *<anonymous> node:internal/fs/utils:680:42
      8    0.0%    0.2%  LazyCompile: *<anonymous> node:buffer:348:36
      7    0.0%    0.2%  LazyCompile: *socketListenerWrap node:_http_server:1001:37
      7    0.0%    0.2%  LazyCompile: *normalizeString node:path:66:25
      7    0.0%    0.2%  LazyCompile: *log /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/winston/lib/winston/transports/console.js:44:6
      7    0.0%    0.2%  LazyCompile: *getHeader node:_http_outgoing:590:57
      7    0.0%    0.2%  LazyCompile: *_flushOutput node:_http_outgoing:950:63
      7    0.0%    0.2%  LazyCompile: *ReadableState node:internal/streams/readable:78:23
      7    0.0%    0.2%  LazyCompile: *Mime.lookup /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/mime/mime.js:69:33
      6    0.0%    0.1%  LazyCompile: *updateOutgoingData node:_http_server:553:28
      6    0.0%    0.1%  LazyCompile: *stringToFlags node:internal/fs/utils:555:23
      6    0.0%    0.1%  LazyCompile: *set /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/lib/application.js:352:23
      6    0.0%    0.1%  LazyCompile: *resume_ node:internal/streams/readable:985:17
      6    0.0%    0.1%  LazyCompile: *randomBytes node:internal/crypto/random:90:21
      6    0.0%    0.1%  LazyCompile: *onResponseHeaders /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/compression/index.js:140:47
      6    0.0%    0.1%  LazyCompile: *matchKnownFields node:_http_incoming:231:26
      6    0.0%    0.1%  LazyCompile: *hash /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express-session/index.js:596:14
      6    0.0%    0.1%  LazyCompile: *expressInit /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/lib/middleware/init.js:29:30
      6    0.0%    0.1%  LazyCompile: *emitCloseNT node:internal/streams/destroy:126:21
      6    0.0%    0.1%  LazyCompile: *compression /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/compression/index.js:59:31
      6    0.0%    0.1%  LazyCompile: *_addListener node:events:418:22
      6    0.0%    0.1%  LazyCompile: *Readable.read node:internal/streams/readable:394:35
      6    0.0%    0.1%  LazyCompile: *Readable.on node:internal/streams/readable:875:33
      6    0.0%    0.1%  LazyCompile: *<anonymous> node:internal/fs/utils:686:40
      6    0.0%    0.1%  Function: ^parse /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/content-type/index.js:106:16
      5    0.0%    0.1%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      5    0.0%    0.1%  RegExp: ^[!#$%&'*+\-.^_`|~0-9A-Za-z]+$
      5    0.0%    0.1%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      5    0.0%    0.1%  RegExp: [|\\{}()[\]^$+*?.]
      5    0.0%    0.1%  RegExp: ;(\s*$)
      5    0.0%    0.1%  RegExp: ; *([!#$%&'*+.^_`|~0-9A-Za-z-]+) *= *("(?:[\u000b\u0020\u0021\u0023-\u005b\u005d-\u007e\u0080-\u00ff]|\\[\u000b\u0020-\u00ff])*"|[!#$%&'*+.^_`|~0-9A-Za-z-]+) *
      5    0.0%    0.1%  LazyCompile: *writeGeneric node:internal/stream_base_commons:151:22
      5    0.0%    0.1%  LazyCompile: *urlencodedParser /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/body-parser/lib/types/urlencoded.js:79:36
      5    0.0%    0.1%  LazyCompile: *transform /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/logform/colorize.js:92:12
      5    0.0%    0.1%  LazyCompile: *resolve /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/lib/view.js:146:42
      5    0.0%    0.1%  LazyCompile: *onFinish node:_http_outgoing:828:18
      5    0.0%    0.1%  LazyCompile: *normalize node:path:1127:12
      5    0.0%    0.1%  LazyCompile: *get node:internal/streams/duplex:94:8
      5    0.0%    0.1%  LazyCompile: *extname node:path:1385:10
      5    0.0%    0.1%  LazyCompile: *error /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/serve-static/index.js:115:39
