Statistical profiling result from fork-ccl-v8.log, (2357 ticks, 1 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.2%  Function: ^isFull node:internal/fixed_queue:71:9
      1    0.0%    0.2%  Function: ^isAbsolute node:path:1156:13
      1    0.0%    0.2%  Function: ^include /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:685:30
      1    0.0%    0.2%  Function: ^handleErrorFromBinding node:internal/fs/utils:340:32
      1    0.0%    0.2%  Function: ^handle /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/lib/application.js:158:29
      1    0.0%    0.2%  Function: ^getStatsFromBinding node:internal/fs/utils:530:29
      1    0.0%    0.2%  Function: ^getHeader node:_http_outgoing:590:57
      1    0.0%    0.2%  Function: ^getEncodingPriority /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/negotiator/lib/encoding.js:98:29
      1    0.0%    0.2%  Function: ^get node:internal/streams/readable:1268:8
      1    0.0%    0.2%  Function: ^get node:internal/console/constructor:202:14
      1    0.0%    0.2%  Function: ^generateSource /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:709:28
      1    0.0%    0.2%  Function: ^deserializeObject /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/bson/lib/parser/deserializer.js:65:27
      1    0.0%    0.2%  Function: ^basename node:path:1306:11
      1    0.0%    0.2%  Function: ^anonymous /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:684:59
      1    0.0%    0.2%  Function: ^alignPool node:buffer:158:19
      1    0.0%    0.2%  Function: ^_addListener node:events:418:22
      1    0.0%    0.2%  Function: ^WritableState.onwrite /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/readable-stream/lib/_stream_writable.js:159:27
      1    0.0%    0.2%  Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1    0.0%    0.2%  Function: ^DerivedLogger.<computed> /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/winston/lib/winston/create-logger.js:71:47
      1    0.0%    0.2%  Function: ^<anonymous> node:internal/validators:221:42

 [C++]:
   ticks  total  nonlib   name
    116    4.9%   25.1%  epoll_pwait
     58    2.5%   12.6%  __write
     53    2.2%   11.5%  fwrite
     16    0.7%    3.5%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
     12    0.5%    2.6%  _IO_file_xsputn
     11    0.5%    2.4%  __libc_read
      9    0.4%    1.9%  syscall
      9    0.4%    1.9%  __libc_malloc
      8    0.3%    1.7%  __pthread_cond_wait
      5    0.2%    1.1%  std::ostream::sentry::sentry(std::ostream&)
      5    0.2%    1.1%  __mprotect
      3    0.1%    0.6%  __lll_lock_wait
      3    0.1%    0.6%  __libc_write
      3    0.1%    0.6%  __GI___pthread_mutex_lock
      3    0.1%    0.6%  _IO_default_xsputn
      2    0.1%    0.4%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const
      2    0.1%    0.4%  fputc
      2    0.1%    0.4%  cfree
      2    0.1%    0.4%  __libc_open
      1    0.0%    0.2%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
      1    0.0%    0.2%  std::ostream& std::ostream::_M_insert<unsigned long>(unsigned long)
      1    0.0%    0.2%  std::ostream& std::ostream::_M_insert<long>(long)
      1    0.0%    0.2%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)
      1    0.0%    0.2%  sigaddset
      1    0.0%    0.2%  operator new[](unsigned long, std::nothrow_t const&)
      1    0.0%    0.2%  operator delete(void*)
      1    0.0%    0.2%  epoll_ctl
      1    0.0%    0.2%  do_futex_wait.constprop.0
      1    0.0%    0.2%  accept4
      1    0.0%    0.2%  __pthread_rwlock_tryrdlock
      1    0.0%    0.2%  __pthread_cond_signal
      1    0.0%    0.2%  __munmap
      1    0.0%    0.2%  __errno_location
      1    0.0%    0.2%  __GI___pthread_mutex_unlock
      1    0.0%    0.2%  __GI___pthread_getspecific
      1    0.0%    0.2%  _IO_padn
      1    0.0%    0.2%  _IO_file_sync

 [Summary]:
   ticks  total  nonlib   name
    121    5.1%   26.2%  JavaScript
    340   14.4%   73.6%  C++
    236   10.0%   51.1%  GC
   1895   80.4%          Shared libraries

 [C++ entry points]:
   ticks    cpp   total   name
     53   29.6%    2.2%  __write
     51   28.5%    2.2%  fwrite
     16    8.9%    0.7%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
     10    5.6%    0.4%  _IO_file_xsputn
      9    5.0%    0.4%  syscall
      8    4.5%    0.3%  __libc_malloc
      5    2.8%    0.2%  std::ostream::sentry::sentry(std::ostream&)
      3    1.7%    0.1%  __libc_write
      3    1.7%    0.1%  __libc_read
      2    1.1%    0.1%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const
      2    1.1%    0.1%  fputc
      2    1.1%    0.1%  __mprotect
      2    1.1%    0.1%  __libc_open
      2    1.1%    0.1%  _IO_default_xsputn
      1    0.6%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
      1    0.6%    0.0%  std::ostream& std::ostream::_M_insert<unsigned long>(unsigned long)
      1    0.6%    0.0%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)
      1    0.6%    0.0%  operator new[](unsigned long, std::nothrow_t const&)
      1    0.6%    0.0%  operator delete(void*)
      1    0.6%    0.0%  __pthread_rwlock_tryrdlock
      1    0.6%    0.0%  __errno_location
      1    0.6%    0.0%  __GI___pthread_mutex_unlock
      1    0.6%    0.0%  __GI___pthread_mutex_lock
      1    0.6%    0.0%  _IO_padn
      1    0.6%    0.0%  _IO_file_sync

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   1835   77.9%  /home/sereprec/.nvm/versions/node/v16.13.0/bin/node
   1074   58.5%    /home/sereprec/.nvm/versions/node/v16.13.0/bin/node
    296   27.6%      Function: ^compileFunction node:vm:308:25
    291   98.3%        Function: ^wrapSafe node:internal/modules/cjs/loader:1017:18
    290   99.7%          Function: ^Module._compile node:internal/modules/cjs/loader:1055:37
    283   97.6%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1110:37
      7    2.4%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1110:37
      3    1.0%        LazyCompile: ~wrapSafe node:internal/modules/cjs/loader:1017:18
      3  100.0%          LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1055:37
      3  100.0%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1110:37
     63    5.9%      /home/sereprec/.nvm/versions/node/v16.13.0/bin/node
     19   30.2%        LazyCompile: *scanLine /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:803:22
     12   63.2%          LazyCompile: *<anonymous> /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:730:32
      9   75.0%            LazyCompile: *compile /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:569:21
      3   25.0%            /home/sereprec/.nvm/versions/node/v16.13.0/bin/node
      7   36.8%          Function: ^<anonymous> /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:730:32
      4   57.1%            LazyCompile: *compile /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:569:21
      3   42.9%            /home/sereprec/.nvm/versions/node/v16.13.0/bin/node
      5    7.9%        LazyCompile: *Template /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:507:18
      5  100.0%          Function: ^compile /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:379:35
      5  100.0%            Function: ^handleCache /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:208:21
      3    4.8%        Function: ^format /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/fecha/lib/fecha.umd.js:246:25
      3  100.0%          Function: ^<anonymous> /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/logform/timestamp.js:14:25
      2   66.7%            Function: ^<anonymous> /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/logform/combine.js:17:10
      1   33.3%            LazyCompile: *Writable.write /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/readable-stream/lib/_stream_writable.js:288:37
      3    4.8%        Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      3  100.0%          Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      2   66.7%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1   33.3%            LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      3    4.8%        Function: ^Module node:internal/modules/cjs/loader:172:16
      3  100.0%          Function: ^Module._load node:internal/modules/cjs/loader:757:24
      3  100.0%            Function: ^Module.require node:internal/modules/cjs/loader:997:36
      2    3.2%        Function: ^readPackageScope node:internal/modules/cjs/loader:321:26
      1   50.0%          Function: ^trySelf node:internal/modules/cjs/loader:441:17
      1  100.0%            Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1   50.0%          Function: ^Module._extensions..js node:internal/modules/cjs/loader:1110:37
      1  100.0%            LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      2    3.2%        Function: ^readPackage node:internal/modules/cjs/loader:290:21
      2  100.0%          Function: ^readPackageScope node:internal/modules/cjs/loader:321:26
      2  100.0%            Function: ^trySelf node:internal/modules/cjs/loader:441:17
      2    3.2%        Function: ^expressInit /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/lib/middleware/init.js:29:30
      1   50.0%          LazyCompile: *trim_prefix /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/lib/router/index.js:288:23
      1  100.0%            LazyCompile: *next /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/lib/router/index.js:176:16
